NUMBER OF OBJECTS IN THE ENVIRONMENT: 113
            index: 0	            object id: 0	            handle: frl_apartment_basket_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.178558, -0.180039, -0.192332}, {0.180914, 0.213753, 0.191654})	            global com: Vector(-1.99578, 1.0889, 0.0578794)	            translation wrt SceneNode: Vector(-1.99578, 1.0889, 0.0578794)	            rotation wrt SceneNode: Quaternion({-5.20255e-07, 0.174285, 3.54069e-07}, 0.984695)        
            index: 1	            object id: 1	            handle: frl_apartment_bike_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.321579, -0.487518, -0.919594}, {0.300746, 0.574938, 0.842399})	            global com: Vector(4.10742, 0.454562, -0.975961)	            translation wrt SceneNode: Vector(4.10742, 0.454562, -0.975961)	            rotation wrt SceneNode: Quaternion({0.0760883, 0.985193, 0.0124058}, 0.153138)        
            index: 2	            object id: 2	            handle: frl_apartment_bin_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.16492, -0.351697, -0.220835}, {0.162999, 0.333517, 0.223752})	            global com: Vector(-2.28358, 0.321075, -0.744538)	            translation wrt SceneNode: Vector(-2.28358, 0.321075, -0.744538)	            rotation wrt SceneNode: Quaternion({0.00313015, -0.708802, -0.0248848}, 0.704962)        
            index: 3	            object id: 3	            handle: frl_apartment_bin_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.209147, -0.364945, -0.325163}, {0.195301, 0.449828, 0.327395})	            global com: Vector(-2.2177, 0.335652, -0.464517)	            translation wrt SceneNode: Vector(-2.2177, 0.335652, -0.464517)	            rotation wrt SceneNode: Quaternion({-5.35087e-05, -0.703305, -3.79412e-05}, 0.710888)        
            index: 4	            object id: 4	            handle: frl_apartment_bin_03_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.218402, -0.375951, -0.278232}, {0.201182, 0.325003, 0.277186})	            global com: Vector(4.18834, 0.346654, 7.11123)	            translation wrt SceneNode: Vector(4.18834, 0.346654, 7.11123)	            rotation wrt SceneNode: Quaternion({0, 0, 0}, 1)        
            index: 5	            object id: 5	            handle: frl_apartment_wall_cabinet_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.285867, -1.07263, -0.231185}, {0.296986, 0.978554, 0.24104})	            global com: Vector(4.16428, 1.04334, 3.95124)	            translation wrt SceneNode: Vector(4.16428, 1.04334, 3.95124)	            rotation wrt SceneNode: Quaternion({-9.3101e-06, 0.72027, -6.52402e-06}, 0.693694)        
            index: 6	            object id: 6	            handle: frl_apartment_clock_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.171445, -0.0989513, -0.076382}, {0.171453, 0.147707, 0.0693424})	            global com: Vector(4.176, 0.583326, 3.94572)	            translation wrt SceneNode: Vector(4.176, 0.583326, 3.94572)	            rotation wrt SceneNode: Quaternion({-0.00224022, 0.712523, -0.00175424}, 0.701643)        
            index: 7	            object id: 7	            handle: frl_apartment_stool_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.243062, -0.349622, -0.236065}, {0.24, 0.146443, 0.253498})	            global com: Vector(4.02823, 0.32035, 2.37013)	            translation wrt SceneNode: Vector(4.02823, 0.32035, 2.37013)	            rotation wrt SceneNode: Quaternion({-1.87212e-06, 0.682991, 5.65104e-06}, 0.730427)        
            index: 8	            object id: 8	            handle: frl_apartment_chair_05_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.247076, -0.700291, -0.368994}, {0.252744, 0.286276, 0.228161})	            global com: Vector(4.11353, 0.671018, 0.736897)	            translation wrt SceneNode: Vector(4.11353, 0.671018, 0.736897)	            rotation wrt SceneNode: Quaternion({7.23745e-07, 0.706727, 2.04506e-06}, 0.707486)        
            index: 9	            object id: 9	            handle: frl_apartment_chair_05_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.247076, -0.700291, -0.368994}, {0.252744, 0.286276, 0.228161})	            global com: Vector(4.1573, 0.671018, 0.0875287)	            translation wrt SceneNode: Vector(4.1573, 0.671018, 0.0875287)	            rotation wrt SceneNode: Quaternion({1.75059e-09, 0.707776, -1.36401e-06}, 0.706437)        
            index: 10	            object id: 10	            handle: frl_apartment_cushion_03_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.250624, -0.181994, -0.236662}, {0.276701, 0.121682, 0.269678})	            global com: Vector(3.78007, 0.486327, 4.75182)	            translation wrt SceneNode: Vector(3.78007, 0.486327, 4.75182)	            rotation wrt SceneNode: Quaternion({0.625975, -0.00293406, 0.77898}, -0.036557)        
            index: 11	            object id: 11	            handle: frl_apartment_sofa_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-1.08565, -0.509698, -0.596778}, {1.1293, 0.376552, 0.435955})	            global com: Vector(3.93408, 0.48043, 5.2976)	            translation wrt SceneNode: Vector(3.93408, 0.48043, 5.2976)	            rotation wrt SceneNode: Quaternion({-2.30674e-08, 0.707117, 9.23582e-08}, 0.707096)        
            index: 12	            object id: 12	            handle: frl_apartment_cushion_03_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.250624, -0.181994, -0.236662}, {0.276701, 0.121682, 0.269678})	            global com: Vector(3.72442, 0.545408, 5.27059)	            translation wrt SceneNode: Vector(3.72442, 0.545408, 5.27059)	            rotation wrt SceneNode: Quaternion({-0.0228696, -0.000894227, 0.0381714}, 0.999009)        
            index: 13	            object id: 13	            handle: frl_apartment_cushion_03_:0002	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.250624, -0.181994, -0.236662}, {0.276701, 0.121682, 0.269678})	            global com: Vector(3.77818, 0.486315, 5.82204)	            translation wrt SceneNode: Vector(3.77818, 0.486315, 5.82204)	            rotation wrt SceneNode: Quaternion({0.0326531, 0.0198517, 0.998782}, -0.0312199)        
